S1,S2,SCORE
The question needs to be asked.,It is a question that needs to be answered.,3.2
You purport to value life very heavily.,I purport to value human life very highly.,2.8
The Infestation posts.,The mosquitoes posts.,1.8
i don't want a president who 'cares'.,don't want a president that is compassionate.,4.6
do you have anything to make it less compelling or not?,Do you have anything to make it more compelling?,2.4
"For the trillionth time, I've never said rehabilitation doesn't work.","The point you quote should say ""I never said rehabilitation could never work.""",3.4
Classical Gas We are all vessels filled with many wonders.,Time of the Season by the Zombies We are all vessels filled with many wonders.,2.4
peeve So we agree that it came down essentially in freefall?,Do we agree that they came down essentially in freefall?,4
Pro-life people do not want a woman to be able to choose abortion for herself.,Pro-choice people do not try to force an abortion on anyone.,1
So answer the question.,Stop avoiding the question.,3.4
Haiti is a shithole.,Haiti has been a shithole.,4.2
I absolutely do believe there was an iceberg in those waters.,I don't believe there was any iceberg at all anywhere near the Titanic.,1.2
The Face Of The Franchise: The worst part is that he's not even a Leafs fan!,The worst part is that he's not even a Leafs fan!,4.4
I agree completely I am hoping he is into a second term of office.,I am hoping he is into a second term of office.,4
Jake with the assist.,Voracek with the goal.,0.4
Is it possible his home was affected and the school was not?,"Sure, it is possible his home was affected, but not the school.",3.2
The people had awakened.,Because the people had awakened.,4.2
Umm the California was a cargo ship I dont care what the article says.,The California was a cargo ship.,4
"Umm, that pretty clearly states, ""the statute is presumed constitutional.""","And until they decide that, ""the statute is presumed constitutional.""",2.6
Florida The ignorance is yours!,The ignorance is yours!,3.4
I'm going to shout for justice for Trayvon.,The people shouting for justice for Trayvon are all hypocrites.,1.6
How do you know what's right and wrong?,How do you know which story is the right one?,2.2
"Ha, ha, ha, ha, ha, ha!","Ah ha, ha, ha, ha, ha!",5
And Nugent was a complete fool to say what he said.,Natalie was a complete fool to have insulted their fan base.,0.6
It is all Bush's fault.,Obama is Bush's fault.,1.2
You should stop prefixing or suffixing everything with you hate Jews.,"I don't prefix or suffix everything with ""you hate Jews.""",2.4
I missed the point where he said that black people were going to riot.,"Never, did I ever, did I say blacks were going to riot.",2.4
Yet you didn't have to declare it.,And you didn't have to.,2
Proverbs  John the Baptist was a Nazarite from birth.,John the Baptist was a Nazarite from birth.,4.6
James : says faith without works is dead.,Paul did not preach faith without works.,2.2
billion . Everyone in the world at Mexico's current prosperity level.,"Everyone in the world at the current ""prosperity"" level of Northwest Africa.",1.533333333
and videos Seismic data does not equal duration of collapse.,Seismic data does not equal duration of collapse.,4.6
Originally Posted by Lone Fox You've said that multiple times now.,Originally Posted by Lone Fox And it's not all Iranian related either.,2.2
"You might not like Obamas views, but he has them.","You might not like the positions he holds, but atleast he has them.",2.6
But do you actually believe there was an iceberg in those waters?,I absolutely do believe there was an iceberg in those waters.,3
There is simply no winning for Obama among conservatives.,This is rich coming from a conservative.,1.4
Satan represents indulgence instead of abstinence!,. Satan represents vengeance instead of turning the other cheek!,1.6
Just so long as the tax on that sale is paid.,Just so long as the tax is paid.,3.8
fix?: Islam itself is not political.,Islam has always been political.,1.2
March  is also the date for the uprising in CHINA.,Originally posted by Vitchilo March  is also the date for the uprising in CHINA.,4
I hope everything is OK!,I hope everything is okay.,5
Do you understand why it's absurd to limit the question to US residents?,Do you understand why non-US residents are also relevant to the statistics?,3.2
I have seen UFO over Warsaw in the past.,"Respectfully submitted, Steve I have seen UFO over Warsaw in the past.",4
depending on which action furthers their loony-tunes agenda of the moment.,depending on which action furthers their lonny-tunes agenda.,4.6
Do you further agree that I have made no claim?,So that you will admit and verify that I have made no claim.,3.8
Zimmerman says that he was sucker punched by his car.,"His ""friends"" say that he was confronted by his car.",2.4
"There is no ""WAR"" in the middle east.",There is no war in the Middle east.,4.6
Part of pro-life is the opposition to legalized abortion.,"Pro-life also refers to just ""opposition to abortion"".",3.8
"Capital gains, top rate:  percent.","- Income, top rate:  percent.",2.8
Time of the Season by the Zombies We are all vessels filled with many wonders.,The theme song to Cheers: We are all vessels filled with many wonders.,2.8
"No, I show you are willfully ignorant.","LOL, you are so ignorant.",4
We are all vessels filled with many wonders.,Jingle Bell Rock by Bobby Helm We are all vessels filled with many wonders.,3
the problem isn't who has money.,the problem is who doesn't have money.,2.466666667
Sadly Ford did accept taxpayer money.,Ford didn't accept taxpayer money to save the company.,2.8
The Muslims would say the same thing about the Qur'an.,The Hindus would say the same thing about the Bhagavad Ghita.,1
Your confusion doesn't make me a liar.,Then your confusion doesn't make me a liar either.,3.8
When Christians are extreme its just simply religion.,When Muslims are extreme it's terrorism.,1.6
Some believe the 'right' is most important.,Some believe not slaughtering the unborn is most important.,1.2
"Evolution is not an opinion, not a belief.","Atomic theory is not an opinion, not a belief.",1.6
I am not the one claiming the right to decide over another woman's body.,You want others to decide over a woman body.,2.8
Where in the world is Ron Paul?,Where in the world is the MEDIA??,0.8
you have no remains of a missile at the pentagon.,you have no remains of an A- at the pentagon.,2.4
"The point you quote should say ""I never said rehabilitation could never work.""","For the trillionth time, I've never said rehabilitation doesn't work.",3.4
billion . Everyone in the world at Mexico's current prosperity level.,"Everyone in the world at the current ""prosperity"" level of Northwest Africa.",1.533333333
my hair is pretty thing tho :/ Quote: Ditto.,my hair is pretty thing tho :/ woops!,3.8
It wouldn't stop joke marriages.,And I don't fight for marriage.,1.2
You seem to think that poor people are not responsible for their actions.,People are responsible for their actions.,1.6
Why did that transaction take place.,Did the transaction take place?,2.4
It's about the baggage attached.,It's not the same thing.,0
We are all vessels filled with many wonders.,Put a Little Love in your Heart We are all vessels filled with many wonders.,3.6
the problem isn't who has money.,the problem is who doesn't have money.,2.466666667
What makes you think the owl didn't participate?,It doesn't say that it didn't participate.,1.6
lol Looking forward to seeing your built-in's!,Look forward to seeing it!,1.8
Originally Posted by jacko!,Originally Posted by IZZY!,1.2
Thanks Candy for starting the thread.,Candy - Thanks for starting us off today.,4.8
Except that it wasn't.,Except that they couldn't.,1
"If I owe you , dollars, I have a problem.","If I owe you a trillion dollars, you have a problem.",2.2
If evidence is not provided to support a position; then it should be rejected.,If a position is unverifiable; then it should be rejected.,4.8
Everyone else at the current prosperity level of Mexico.,"Everyone in the world at the current ""prosperity"" level of Northwest Africa.",1.4
Bush gets zero credit for the budget under him.,"And, Obama gets zero credit for the budget under him.",1.8
LOL Don't you have to take a test to drive a vehicle in the US?,Is there a test to own a firearm in the US?,0.8
We both thought the movie was good and we didn't find it confusing in any way.,"I thought it was good, and I didn't find it confusing.",3.2
If God does not exist can anything be morally wrong?,I ask again if God does not exist can anything be morally wrong?,5
A law is constitutional if it does not conflict with the Constitution.,To be unconsititutional means to violate the constitution.,3.6
Originally Posted by muslim girl ooops sorry!,Originally Posted by muslim girl its not a complete impossibility.,1.2
This is not your country.,This is our country.,1.4
Originally Posted by zaf I suppose the water in the middle makes a difference.,"Originally Posted by zaf in the long term, yes.",1
Cone threw an  game.,Addie Joss Cone threw an  game.,4.2
Edited by LashL: Edited to properly mask profanity.,Edited by LashL: Edited to properly mask profanity in quoted post.,4.8
The jury is not told about juror nullification.,The quote you provide has nothing to do with jury nullification.,1.6
runs victim down Got any proof?,paranoid Got any proof?,1
"you don't use the search button much, do you?","you don't use the search button AT ALL, do you?",4.2
I don't think Paul has a shot.,Paul doesn't have a shot.,3.6
Time of the Season by the Zombies We are all vessels filled with many wonders.,Joy to the World We are all vessels filled with many wonders.,3.2
Do you notice the nonsensical things you are saying?,"And to be fair, do you notice the nonsensical things you are saying?",4.571428571
What if they messed up a study?,What if they had a personal bias?,1
Specifically a Baptist.,Specifically Gnostic.,1.2
And a large part of the east coast.,And parts of the west coast.,0.8
Why are you talking about women within the Hebrew tribes?,We were talking about women as war bounty were we not?,1.4
Last night Japanese forces attacked Hong Kong.,Last night Japanese forces attacked the Philippine Islands.,2.6
". What is your definition of ""life force""?","What is your definition of ""soul""?",3.6
That is not direct responsibilty to the constituents.,Aye but they ARE responsible to their constituents.,2.6
"The ideology was built around violent expansion, so yes - VIOLENT expansion.",The ideology was built around violent expansion and race superiority.,4
Could this have been an enema?,"@ossobuco, Could this have been an enema?",4.6
my final word: ignoring has the effect of normalizing.,taking advantage has the effect of reinforcing.,0.4
The problem likely will mean corrective changes before the shuttle fleet starts flying again.,He said the problem needs to be corrected before the space shuttle fleet is cleared to fly again.,4.4
"SEC Chairman William Donaldson said there is a ""building confidence out there that the cop is on the beat.""",I think there's a building confidence that the cop is on the beat.,3.4
"Myanmar's pro-democracy leader Aung San Suu Kyi will return home late Friday but will remain in detention after recovering from surgery at a Yangon hospital, her personal physician said.","Myanmar's pro-democracy leader Aung San Suu Kyi will be kept under house arrest following her release from a hospital where she underwent surgery, her personal physician said Friday.",4.6
"Darren Dopp, a Spitzer spokesman, declined to comment late Thursday.","John Heine, a spokesman for the commission in Washington, declined to comment on Mr. Spitzer's criticism.",1.4
"In afternoon trading in Europe, France's CAC-40 advanced and Britain's FTSE 100 each gained 0.7 percent, while Germany's DAX index rose 0.6 percent.","In Europe, France's CAC-40 rose 1.3 percent, Britain's FTSE 100 declined 0.2 percent and Germany's DAX index gained 0.6 percent.",2
Sens. John Kerry and Bob Graham declined invitations to speak.,The no-shows were Sens. John Kerry of Massachusetts and Bob Graham of Florida.,3.6
Page said it's also possible that genes on the Y chromosome may influence gender-specific differences in disease susceptibility.,He added that genes on the Y might play a role in influencing gender-specific differences in disease susceptibility.,4.4
One of the most well studied facets of temperament is how people respond to novelty.,One of the defining and well-studied characteristics of temperament is how people react to novelty.,4.8
"But butterflies exposed to an earlier light cycle, from 1am to 1pm, orientated themselves towards the south-east.","But butterflies housed under an earlier light cycle, 1 a.m. to 1 p.m., flew toward the southeast.",4.6
"Dunlap won both the swimsuit competition and the talent portion of the competition, singing ""If I Could.""","She won the talent portion singing ""If I Could"" and also won in evening wear.",2.8
"South Asia follows, with 1.1 millions youths infected ��� 62 percent of them female.","Of the 1.1 million infected in south Asia, 62% are female.",4
"An hour later, an Israeli helicopter fired missiles at a car in Gaza City, killing two Hamas officials and at least five other people.","An hour later Israeli attack helicopters rained missiles on a car in Gaza City, killing seven people, Palestinian sources said.",4.25
"AAA spokesman Jerry Cheske said prices may have affected some plans, but cheap hotel deals mitigated the effect.","AAA spokesman Jerry Cheske said prices might have affected some plans, but cheap hotel deals made up for it.",5
"She countersued for $125 million, saying Gruner & Jahr broke its contract with her by cutting her out of key editorial decisions.","She countersued for $125 million, saying G+J broke its contract with her by cutting her out of key editorial decisions and manipulated the magazine's financial figures.",3.5
"The Standard Edition is $15,000 per processor or $300 per named user.",The Standard Edition One is a single processor version of the Oracle Standard Edition Database.,2.5
Microsoft acquired Virtual PC when it bought the assets of Connectix earlier this year.,"Microsoft acquired Virtual PC from its developer, Connectix, earlier this year.",4.4
"Leon Williams' body was found inside his third-floor apartment at 196 Bay St., in Tompkinsville.","The dead man, Leon Williams, was found in his third-floor apartment.",3.4
It's the first such drill since the September 11 terrorist attacks on New York and Washington.,It is the nation's first large-scale counterterrorism exercise since the Sept. 11 terrorist attacks.,4
"Ursel Reisen confirmed it operated the coach, but gave no details other than to say the passengers were of mixed ages.","Ursel Reisen confirmed it had been operating the coach, but declined to give details of the passengers other than to say they were of mixed ages.",4.8
"A total of 17 cases have been confirmed in the southern city of Basra, the Organization said.",A total of 17 confirmed cases of cholera were reported yesterday by the World Health Organisation in the southern Iraqi city of Basra.,3.6
He was also expected to visit Yemen and Bahrain during his tour of the region.,"Khatami, who arrived in Beirut Monday, was also to visit Syria, Yemen and Bahrain.",3.4
"General Myers told reporters that ""at first blush, it doesn't look like any rules were broken"".","At first blush, it doesn't look like any rules were broken, said Gen. Richard Myers, chairman of the Joint Chiefs of Staff.",3.6
"Proving that the Millville son's sacrifice would not go unsung, Mayor James Quinn ordered all city flags flown at half-mast for the next 30 days.","In Millville yesterday, Mayor James Quinn ordered all city flags flown at half-staff for the next 30 days.",3.4
"Tom Kraynak, manager of operations and resources for the Canton, Ohio-based East Central Area Reliability Council, said that scenario is one among many that investigators are considering.","Tom Kraynak, manager of operations and resources for the Canton, Ohio-based East Central Area Reliability Council, said investigators are considering the scenario.",4.25
They found molecules that can only be produced when ozone breaks down cholesterol.,And all of the samples contained molecules that can only be produced when cholesterol interacts with ozone.,4.25
It can store more than a gigabyte of information equivalent to around 12 hours of music in one cubic centimetre.,"And it can store more than a gigabyte of information - equivalent to 1,000 high quality images or around 12 hours of music - in just one cubic centimetre.",3.846
"Earlier this month, RIM had said it expected to report second-quarter earnings of between 7 cents and 11 cents a share.",Excluding legal fees and other charges it expected a loss of between 1 and 4 cents a share.,1.2
"For me, the Lewinsky imbroglio seemed like just another vicious scandal manufactured by political opponents, according to extracts released yesterday.","For me, the Lewinsky imbroglio seemed like just another vicious scandal manufactured by political opponents, Mrs Clinton writes.",3.2
"In 2001 and 2002, wire transfers from 4 of the company's 40 accounts totaled more than $3.2 billion, prosecutors said.","Wire transfers from four of the 40 accounts open at Beacon Hill totaled more than $3.2 billion from 2001 to 2002, Morgenthau said.",3.8
"Stony Brook University launched the study in 1996, after earlier studies indicated a possible connection between electromagnetic fields and cancer.","The State University at Stony Brook launched the study in 1996, after earlier studies indicated a possible connection.",3.2
"Earlier, they had defied a police order and cried ""Allahu Akbar"" (God is Greatest) as Bashir walked to his seat in the tightly guarded courtroom.","Earlier, Bashir's supporters had defied a police order and cried ""Allahu Akbar (God is Greatest)"" as he walked to his seat.",4
Metropolitan Ambulance spokesman James Howe said five people were taken to hospital and three were treated at the scene after yesterday's incident.,"Spokesman James Howe said five children aged between 4 and 17 were taken to hospital with neck and chest injuries, while three others were treated at the scene.",3.333
But it is clear that the Joint Intelligence Committee was not involved.,This report was cleared by the Joint Intelligence Committee.,2
"About 22% of twentysomethings are obese, which is roughly 30 pounds over a healthy weight.",About 31 percent of Americans are now obese ��� roughly 30 or more pounds over a healthy weight.,2.6
"Coupling, an American version of a hit British comedy, will get the valuable Thursday 9:30 p.m. time slot.","Coupling, an American version of a hit British comedy, will couple with Friends on Thursdays.",3
Her body was found several weeks later in the Green River.,"Aug. 15, 1982: Remains of Chapman, Hinds and Mills are found in the Green River.",2.6
"Fighting continued until midnight, western rebel commander Ousmane Coulibaly told Reuters by satellite phone on Sunday.","They ransacked and burned the two villages completely, rebel commander Ousmane Coulibaly told Reuters by satellite phone from the bush.",2.8
The reading for both August and July is the best seen since the survey began in August 1997.,It is the highest reading since the index was created in August 1997.,3
"US Special Forces troops are training Colombian soldiers at military bases in the region to protect the pipeline, which transports crude from Colombia's second-biggest oil field.",U.S. Special Forces troops are training Colombian soldiers at military bases in the region to protect the pipeline.,3.2
"We need a certifiable pay as you go budget by mid-July or schools wont open in September, Strayhorn said.","Texas lawmakers must close a $185.9 million budget gap by the middle of July or the schools wont open in September, Comptroller Carole Keeton Strayhorn said Thursday.",2.6
Shares of Hartford rose $2.88 to $46.50 in New York Stock Exchange composite trading.,"Shares of Hartford were up $2.28, or 5.2 percent, to $45.90 in midday trading.",2.5
The DVD-CCA then appealed to the state Supreme Court.,The DVD CCA appealed that decision to the U.S. Supreme Court.,4.5
Country-music station KKCS has suspended two disc jockeys for playing songs by the Dixie Chicks in violation of a ban imposed after one group member criticized President George Bush.,"A radio station has suspended two disc jockeys for locking themselves in the studio and continuously playing Dixie Chicks songs, violating the station's two-month-old ban on the group's music.",3.25
"Sovereign's shares lost 74 cents, or 4.5%, to $15.68.","Sovereign shares closed on the New York Stock Exchange at $15.68, down 74 cents, or 4.5 percent.",4
"Aspen Technology's shares dropped 74 cents, or 23 percent, to close at $2.48 on the Nasdaq.","In afternoon trading, Aspen's shares were off 89 cents or more than 27 percent at $2.33 per share.",2.2
The new law requires libraries and schools to use filters or lose federal financing.,The 6-3 ruling reinstates a law that told libraries to install filters or surrender federal money.,2.8
"In addition, it offered the United States and Israel a way to work around Mr. Arafat.","When the prime minister's position was established in the spring, it offered the United States and Israel a way to work around Arafat.",3.6
"And yes, Marilyn Monroe is definitely part of the story, titled ""Arthur Miller, Elia Kazan and the Blacklist: None Without Sin.""","Note the subheading of this terrible parable in the ""American Masters"" series, ""Arthur Miller, Elia Kazan and the Blacklist: None Without Sin.""",2.6
"Gilroy police and FBI agents described Gehring as cooperative, but said Saturday that he had revealed nothing about what had happened to the children.","Saturday, officials in California described Gehring as cooperative ��� but said he has revealed nothing about what has happened to the children.",3.8
"Scribner's body was found floating in the city's Portage Bay, where he lived with his wife in a houseboat.","A kayaker found Dr. Scribner's body floating near the doctor's houseboat in Portage Bay, where he was eating lunch when his wife, Ethel, left for an appointment.",3.2
"After protesters rushed the stage and twice cut power to the microphone, Hedges drew the speech to an early close.","After protesters rushed the stage and twice cut power to the microphone, Hedges cut his speech short.",5
"A passer-by found Ben hiding along a dirt road in Spanish Fork Canyon about 7 p.m., with his hands still taped together but his feet free.","A passer-by found the boy hiding along a dirt road in Spanish Fork Canyon about 7 p.m. Thursday, with his feet free but his hands still taped.",4
"Doctors say one or both boys may die, and that some brain damage is possible if they survive.","Doctors said that one or both of the boys may die and that if they survive, some brain damage is possible.",5
"Also missing is Al Larsen, 31, of Fort Worth, Texas, who was in another vehicle swept off the turnpike.","The other victim recovered Tuesday morning was Al Larsen, 31, of Fort Worth, Texas.",2.2
British-based GlaxoSmithKline Plc said earlier this year it would cut off supplies to Canadian drugstores that ship to the United States.,"GlaxoSmithKline, the UK drugmaker, has said it would cut off supplies to Canadian stores shipping drugs to the US.",4.2
The festival kicked off yesterday one day after the Competition Commission delivered its final verdict to the Government on the proposed ��4.1 billion merger.,"The Competition Commission delivered its verdict yesterday on the proposed merger of the two big ITV players, Carlton and Granada.",2.818
She said he persisted and she eventually allowed him to fix her bike while she sat in the front seat of his car.,"She said she eventually allowed him to fix her bike while she sat in his car, and they chatted.",3.875
"Daniels said he doesn't know what Bush will have to say about him at tonight's $2,000-per-person presidential fund-raiser.","Daniels said he doesn't know what Bush will say at tonight's $2,000-per-person reception to raise funds for his presidential re-election bid.",4.4
"A three-judge panel of the 11th U.S. Circuit Court of Appeals ruled late Friday that the small size, limited use and secular purpose make the image legitimate.",A three-judge panel of the 8th U.S. Circuit Court of Appeals in St. Louis overturned a ruling issued last year that supported the ordinance.,2.8
Only 29 families of frogs are known and most were identified and described in the mid-1800s and the last in 1926.,"Only 29 families of frogs are known, most of which were named by the mid-1800s.",3.8
"Officials at Brandeis said this was an ""extremely heartrending"" time for the campus.",This is an extremely heartrending time for the entire Brandeis University community. ,4.4
"The value will total about $124 million, including convertible securities, according to Corel.","Including convertible securities, the total estimated value of the deal is $124 million, according to Corel. ",5
"He started in the 1983 Super Bowl, which Miami lost 27-17 to Washington.","He played four seasons in Miami, including the Dolphins' 27-17 loss to Washington in the Super Bowl. ",3
Nterprise Linux Services is expected to be available before then end of this year.,Beta versions of Nterprise Linux Services are expected to be available on certain HP ProLiant servers in July. ,2.667
"Excluding one-time items, the company enjoyed a profit of 6 cents a share.","Excluding one-time items, it expects profit of 11 cents to 15 cents a share. ",2.333
"But I do question the motives of a deskbound president who assumes the garb of a warrior for the purposes of a speech.""","Byrd, speaking from the Senate floor, said he questioned ""the motives of a deskbound president who assumes the garb of a warrior for purposes of a speech.""",3
"The broader Standard & Poor's 500 Index .SPX fell 3 points, or 0.30 percent, to 995.","The technology-laced Nasdaq Composite Index <.IXIC> added 1.92 points, or 0.12 percent, at 1,647.94.",1.333
"Instead, tickets for the Jersey jam went on sale last night through Ticketmaster.","Tickets, available through Ticketmaster, went on sale yesterday.",3.8
"Earlier on Monday, Grant Thornton SpA repeated previous statements that it was ""a victim of fraudulent action"".",Grant Thornton claims that it too was the ���victim��� of a fraud.,3.4
Peter Lyman and Hal Varian of Berkeley's School of Information Management and Systems say that information production has increased by 30 percent each year between 1999 and 2002.,"That task appealed to two masters of the megabyte, Peter Lyman and Hal Varian, professors at the University of California-Berkeley's School of Information Management and Systems.",2
"My judgment is 95 percent of that information should be declassified, become uncensored, so the American people would know.","My judgment is 95 percent of that information could be declassified, become uncensored so the American people would know,"" Mr. Shelby said on NBC's ""Meet the Press.""",3.4
The researchers found only empty cavities and scar tissue where the tumors had been.,"No tumors were detected; rather, empty cavities and scar tissue were found in their place.",4
"Washington, however, said more was needed to prevent complaints being filed in the first place.","But the US insisted it wanted more done to prevent complaints being filed in the first place, preferably by repealing the entire law.",2.8
"After 26 hours of surgery and a year of anticipation, the boys were separated Sunday at Children's Medical Center of Dallas.","Two-year-old Egyptian twin boys, born with their heads conjoined, have been separated after 26 hours of surgery at the Children's Medical Centre in Dallas.",3.2
Pines said he would convene the relevant party bodies within 10 days to discuss whether new elections would be held or whether a temporary leader would be appointed.,Mitzna and party secretary Ophir Pines agreed to convene party organizations within 10 days to discuss whether new primaries would be held or a temporary leader appointed.,3.6
"The euro soared to US$1.1914 in Asian trading, before slipping back slightly to US$1.1895 as trading opened in Europe.","The euro soared to $1.1914 in Asian trading, before slipping back to $1.1884 in late European trading, up from $1.1857 late Monday.",3.6
"Abbas told the summit he would end the ""armed intefadeh,"" renounced ""terrorism against the Israelis wherever they might be"" and alluded to the disarming of militants.","At Wednesday's summit, Abbas pledged to end the ""armed intefadeh,"" renounced ""terrorism against the Israelis wherever they might be"" and alluded to the disarming of militants.",4.2
"Cmdr. Rod Gibbons, an academy spokesman, said, ""The academy is shocked and saddened.",Naval Academy spokesman Cmdr. Rod Gibbons said: ``Today's announcement came as a surprise.,3.25
"Shares of LendingTree rose $6.21, or 42 percent, to $20.90 after hitting $21.36 earlier.","LendingTree shares rose 43 percent, or $6.31, to $21, more than doubling in the last two months.",2.75
"Last week, his lawyers asked Warner to grant clemency under conditions that would have lead to a new sentencing hearing.","Last week, his lawyers asked Gov. Mark R. Warner to grant clemency, but the governor declined to intervene.",2.5
"I think it should have been released years ago, said Brian Rohrbough, whose son, Daniel, was killed at Columbine.","Brian Rohrbough, whose son, Daniel, was killed at Columbine, said the tape raises disturbing issues.",1.75
"CIA Director George Tenet said the two men were ""defined by dedication and courage.""","[They] were defined by dedication and courage, said the CIA's director George Tenet.",4.25
"But software license revenues, a measure financial analysts watch closely, decreased 21 percent to $107.6 million.","License sales, a key measure of demand, fell 21 percent to $107.6 million.",5
"Dotson, 21, was arrested and charged on July 21 after reportedly telling authorities he shot Dennehy after Dennehy tried to shoot him.","Dotson was arrested July 21 after telling FBI agents he shot Dennehy when Dennehy tried to shoot him, according to the arrest warrant affidavit.",4.25
Prosecutors contended that Mr. Durst had plotted the murder to assume Mr. Black's identity.,Prosecutors maintained that Durst murdered Black to try to assume Black's identity.,4.75
That objection was cited by PeopleSoft's board in rejecting Oracle's offer.,PeopleSoft's board has recommended stockholders reject the offer.,2.75
Several black Democratic leaders were attempting to arrange a meeting with DNC chairman Terry McAuliffe to discuss the layoffs.,Black Democratic leaders were trying to arrange a meeting with Democratic National Committee Chairman Terry McAuliffe to discuss the layoffs of 10 minority staffers at party headquarters.,3.25
"These are dark days for our industry, Giovanni Bisignani, director general of the Geneva-based organization, said in a statement.","These are dark days for our industry, the Geneva-based International Air Transport Association's Director-General Giovanni Bisignani said.",3.5
"The seven other nations in the initiative are Britain, Germany, Italy, the Netherlands, Poland, Portugal and Spain.","Other nations involved in the PSI include Germany, Italy, the Netherlands, Poland, Portugal, Spain and Britain.",3.6
"The average American makes four trips a day, 45 percent for shopping or errands.",Nearly half - 45 percent - are for shopping or running errands.,3.333
"It's also a strategic win for Overture, given that Knight Ridder had the option of signing on Google's services.","It's also a strategic win for Overture, given that Knight Ridder had been using Google's advertising services.",4
"In the weeks leading up to the execution, several Florida officials received anonymous threatening letters.","Several Florida officials connected to the case have received threatening letters, accompanied by rifle bullets.",3.5
Hoy confirmed the woman's age Tuesday and said she has left on vacation with her family.,"Hoy confirmed the woman's age Tuesday and said she was on vacation with her family, but is expected to return this week.",3.4
"BOSTON The Catholic archdiocese in Boston has offered $55 million to settle more than 500 clergy sex abuse lawsuits, according to a document obtained by The Associated Press.",The American Roman Catholic archdiocese of Boston has offered $55 million to settle more than 500 sex abuse lawsuits involving priests.,3.6
"The 3{ hours of recordings include conversations between police, firefighters and other emergency workers, as well as media inquiries.","Among them are conversations between police, firefighters and other emergency workers, as well as media inquiries.",3.6
"The 30-year bond US30YT=RR jumped 20/32, taking its yield to 4.14 percent from 4.18 percent.",The 30-year bond US30YT=RR dipped 14/32 for a yield of 4.26 percent from 4.23 percent.,2
"But he is the only candidate who has won national labor endorsements so far, picking up his 11th union on Tuesday when the United Steelworkers of America endorsed him.","But he is the only candidate who has won national labor endorsements so far, picking up his 11th on Tuesday.",3.6
"Oracle shares fell 27 cents, or 2 percent, to $13.09.","Oracle shares also rose on the news, up 15 cents to $13.51 on the Nasdaq.",1.6
"North American futures pointed to a sub-par start to trading on Tuesday, with investors ready to get their first taste of quarterly earnings.","North American stock markets got off to a slow start Tuesday, with investors ready to get their first taste of quarterly earnings.",4.6
"The market's broader gauges also posted big gains, having climbed higher for four consecutive weeks.","The broader market also retreated, having climbed higher for four consecutive weeks.",3.6
Jim Furyk celebrated his first Father's Day as a father by winning his first major golf championship.,"His first Father's Day as a dad, his first major as a champion.",3
"They passed through the Lemelson Medical, Educational and Research Foundation Limited Partnership in 2001 to Syndia.","It said the patents were ""allegedly"" assigned to Syndia in 2001 through the Lemelson Medical, Educational and Research Foundation Limited Partnership.",2.4
The SIA says the DRAM market is expected to grow 2.9 percent to $15.7 billion in 2003 and 43 percent to $22.5 billion in 2004.,"The Americas market will decline 2.1 percent to $30.6 billion in 2003, and then grow 15.7 percent to $35.4 billion in 2004.",1.2
"Morrill's wife, Ellie, sobbed and hugged Bondeson's sister-in-law during the service.","At the service Morrill's widow, Ellie, sobbed and hugged Bondeson's sister-in-law as people consoled her.",3.4
Mr. Grassley and Mr. Baucus rejected any disparity in drug benefits.,Grassley and Baucus said they had rejected that approach in their plan.,3
"In the year-ago quarter, the steelmaker recorded a profit of $16.2 million, or 15 cents per share, on sales of $1.14 billion.","In the second quarter last year, AK Steel reported a profit of $16.2 million, or 15 cents a share.",3.4
"The Nasdaq had a weekly gain of 17.27, or 1.2 percent, closing at 1,520.15 on Friday.","The tech-laced Nasdaq Composite .IXIC rallied 30.46 points, or 2.04 percent, to 1,520.15.",1.8
"It was brazen intimidation to keep people on the reservation, said a Republican who attended but did not want to be named.","It was a brazen attempt at intimidation, said a Republican legislator who attended the meeting.",3.5
"No charges were announced, but the statement said legal proceedings were expected Monday.",An FBI statement said legal proceedings were expected Monday in federal court in Baltimore.,2.75
The dead woman was also wearing a ring and a Cartier watch.,"It's a blond-haired woman wearing a Cartier watch on her wrist, the source said.",2.6
"The tech-heavy Nasdaq Stock Markets composite index added 14.17 points or 0.94 per cent to 1,517.05.","The Nasdaq Composite index, full of technology stocks, was lately up around 18 points.",2.2
"But the FBI never kept tabs on al-Bayoumi - even though it had received information that he was a Saudi agent, the document says.","But the bureau never kept tabs on al-Bayoumi���despite receiving prior information he was a secret Saudi agent, the report says.",4.75
"It's going to happen, said Jim Santangelo, president of the Teamsters Joint Council 42 in El Monte.","That really affects the companies, big time, said Jim Santangelo, president of the Teamsters Joint Council 42 in El Monte.",1.5
"He was released on $3-million bail and immediately returned to Las Vegas, where he had been filming a video.","After posting $3 million bail, Jackson flew to Las Vegas, where he had been working on a video.",3.75
Gartner analysts said that businesses are not yet feeling confident enough to upgrade corporate PCs.,"What's more, companies are not feeling confident enough to replace older PCs, the analyst firm said.",3.5
"As of Tuesday, almost 250 health-care workers were in quarantine.","In addition, 6,800 people were in quarantine and thousands of health-care workers in working quarantine.",1.5
Brian Brabazon said his son would get upset but then turn around and befriend his taunters.,"Her son would get upset, his mom said, but then turn around and befriend his taunters.",3.2
"The tech-heavy Nasdaq Stock Markets composite index added 1.16 points to 1,504.04.","The Nasdaq Composite index, full of technology stocks, was lately up around 18 points.",2.2
